Finished: True Number of tries: 1920 Number of failures: 0 Number of results: 1920
UTF-8 String: ''   , Hex: 0xc2 0x80
UTF-8 String: 'ĭ'   , Hex: 0xc4 0xad
UTF-8 String: 'Į'   , Hex: 0xc4 0xae
UTF-8 String: 'į'   , Hex: 0xc4 0xaf
UTF-8 String: 'İ'   , Hex: 0xc4 0xb0
UTF-8 String: 'ı'   , Hex: 0xc4 0xb1
UTF-8 String: 'Ĳ'   , Hex: 0xc4 0xb2
UTF-8 String: 'ĳ'   , Hex: 0xc4 0xb3
UTF-8 String: 'Ĵ'   , Hex: 0xc4 0xb4
UTF-8 String: 'ĵ'   , Hex: 0xc4 0xb5
UTF-8 String: 'Ķ'   , Hex: 0xc4 0xb6
UTF-8 String: 'ķ'   , Hex: 0xc4 0xb7
UTF-8 String: 'ĸ'   , Hex: 0xc4 0xb8
UTF-8 String: 'Ĺ'   , Hex: 0xc4 0xb9
UTF-8 String: 'ĺ'   , Hex: 0xc4 0xba
UTF-8 String: 'Ļ'   , Hex: 0xc4 0xbb
UTF-8 String: 'ļ'   , Hex: 0xc4 0xbc
UTF-8 String: 'Ľ'   , Hex: 0xc4 0xbd
UTF-8 String: 'ľ'   , Hex: 0xc4 0xbe
UTF-8 String: 'Ŀ'   , Hex: 0xc4 0xbf
UTF-8 String: 'ŀ'   , Hex: 0xc5 0x80
UTF-8 String: 'Ł'   , Hex: 0xc5 0x81
UTF-8 String: 'ł'   , Hex: 0xc5 0x82
UTF-8 String: 'Ń'   , Hex: 0xc5 0x83
UTF-8 String: 'ń'   , Hex: 0xc5 0x84
UTF-8 String: 'Ņ'   , Hex: 0xc5 0x85
UTF-8 String: 'ņ'   , Hex: 0xc5 0x86
UTF-8 String: 'Ň'   , Hex: 0xc5 0x87
UTF-8 String: 'ň'   , Hex: 0xc5 0x88
UTF-8 String: 'ŉ'   , Hex: 0xc5 0x89
UTF-8 String: 'Ŋ'   , Hex: 0xc5 0x8a
UTF-8 String: 'ŋ'   , Hex: 0xc5 0x8b
UTF-8 String: 'Ō'   , Hex: 0xc5 0x8c
UTF-8 String: 'ō'   , Hex: 0xc5 0x8d
UTF-8 String: 'Ŏ'   , Hex: 0xc5 0x8e
UTF-8 String: 'ŏ'   , Hex: 0xc5 0x8f
UTF-8 String: 'Ő'   , Hex: 0xc5 0x90
UTF-8 String: 'ő'   , Hex: 0xc5 0x91
UTF-8 String: 'Œ'   , Hex: 0xc5 0x92
UTF-8 String: 'œ'   , Hex: 0xc5 0x93
UTF-8 String: 'Ŕ'   , Hex: 0xc5 0x94
UTF-8 String: 'ŕ'   , Hex: 0xc5 0x95
UTF-8 String: 'Ŗ'   , Hex: 0xc5 0x96
UTF-8 String: 'ŗ'   , Hex: 0xc5 0x97
